iter	Passed	Remaining
401	16007	15848
402	16045	15806
403	16082	15764
404	16119	15721
405	16157	15679
406	16192	15635
407	16232	15596
408	16270	15554
409	16303	15508
410	16327	15453
411	16365	15412
412	16402	15370
413	16440	15328
414	16472	15281
415	16514	15243
416	16553	15203
417	16590	15162
418	16626	15118
419	16662	15075
420	16705	15039
421	16745	14999
422	16790	14964
423	16835	14929
424	16878	14892
425	16918	14853
426	16960	14815
427	17005	14780
428	17051	14746
429	17091	14706
430	17126	14662
431	17161	14618
432	17207	14584
433	17251	14548
434	17290	14508
435	17337	14474
436	17376	14434
437	17415	14393
438	17458	14356
439	17502	14319
440	17541	14280
441	17580	14239
442	17620	14200
443	17666	14164
444	17703	14123
445	17743	14083
446	17785	14045
447	17826	14006
448	17860	13962
449	17898	13920
450	17934	13878
451	17975	13839
452	18010	13795
453	18053	13758
454	18089	13716
455	18131	13678
456	18177	13643
457	18214	13600
458	18257	13563
459	18298	13525
460	18340	13486
461	18378	13445
462	18425	13411
463	18462	13369
464	18499	13327
465	18540	13288
466	18569	13241
467	18610	13202
468	18646	13159
469	18689	13122
470	18731	13084
471	18772	13045
472	18817	13008
473	18851	12965
474	18886	12922
475	18929	12884
476	18970	12846
477	19013	12808
478	19051	12767
479	19089	12726
480	19126	12684
481	19168	12646
482	19211	12609
483	19248	12566
484	19287	12526
485	19325	12486
486	19360	12443
487	19397	12401
488	19426	12355
489	19470	12318
490	19510	12278
491	19552	12240
492	19589	12198
493	19630	12159
494	19671	12120
495	19712	12081
496	19753	12042
497	19792	12002
498	19826	11959
499	19863	11918
500	19901	11877
501	19939	11836
502	19985	11800
503	20027	11761
504	20072	11725
505	20108	11683
506	20145	11642
507	20185	11602
508	20224	11562
509	20265	11523
510	20304	11483
511	20347	11445
512	20377	11400
513	20418	11361
514	20463	11324
515	20501	11283
516	20535	11240
517	20578	11202
518	20612	11160
519	20651	11119
520	20684	11076
521	20717	11033
522	20760	10995
523	20793	10952
524	20828	10910
525	20871	10872
526	20913	10833
527	20952	10793
528	20993	10754
529	21032	10714
530	21070	10674
531	21111	10635
532	21154	10597
533	21189	10554
534	21230	10516
535	21274	10478
536	21308	10436
537	21348	10396
538	21390	10358
539	21430	10318
540	21472	10279
541	21515	10241
542	21555	10202
543	21599	10164
544	21639	10125
545	21686	10088
546	21730	10050
547	21774	10013
548	21815	9973
549	21854	9933
550	21899	9896
551	21944	9859
552	21984	9819
553	22023	9779
554	22061	9738
555	22101	9699
556	22148	9662
557	22187	9622
558	22225	9582
559	22266	9542
560	22304	9502
561	22346	9463
562	22381	9421
563	22415	9379
564	22454	9339
565	22497	9301
566	22533	9259
567	22568	9218
568	22609	9178
569	22656	9142
570	22695	9101
571	22730	9060
572	22770	9020
573	22814	8982
574	22856	8944
575	22896	8904
576	22938	8865
577	22976	8824
578	23015	8784
579	23057	8745
580	23093	8704
581	23127	8662
582	23169	8623
583	23203	8581
584	23241	8541
585	23280	8501
586	23319	8461
587	23361	8422
588	23409	8385
589	23448	8346
590	23486	8305
591	23524	8265
592	23561	8224
593	23601	8185
594	23643	8146
595	23680	8105
596	23720	8065
597	23761	8026
598	23802	7987
599	23840	7946
600	23876	7906
601	23924	7868
602	23966	7829
603	24002	7788
604	24042	7749
605	24077	7707
606	24121	7669
607	24164	7630
608	24201	7590
609	24247	7552
610	24290	7513
611	24330	7473
612	24365	7433
613	24403	7392
614	24450	7354
615	24489	7315
616	24529	7275
617	24575	7237
618	24612	7196
619	24654	7157
620	24690	7116
621	24728	7076
622	24769	7037
623	24803	6995
624	24843	6956
625	24883	6916
626	24927	6877
627	24964	6837
628	25010	6799
629	25043	6757
630	25086	6718
631	25122	6678
632	25157	6637
633	25195	6596
634	25240	6558
635	25286	6520
636	25324	6480
637	25357	6438
638	25399	6399
639	25434	6358
640	25477	6319
641	25514	6279
642	25555	6239
643	25595	6200
644	25638	6161
645	25677	6121
646	25720	6082
647	25755	6041
648	25792	6001
649	25838	5962
650	25885	5924
